id,postcode,"woonplaats","alternatieve_schrijfwijzen","gemeente","provincie","netnummer",latitude,longitude,"soort"
172,1277,"Huizen","","Huizen","Noord-Holland","035",52.2960871,5.2801443,"Adres"
173,1300,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Postbus"
174,1301,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Postbus"
175,1302,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Adres + Postbus"
176,1303,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Postbus"
177,1305,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Postbus"
178,1309,"Almere","","Almere","Flevoland","036",52.3827943,5.143826,"Adres"
179,1311,"Almere","","Almere","Flevoland","036",52.3667171,5.1758701,"Adres"
180,1312,"Almere","","Almere","Flevoland","036",52.3726804,5.1920131,"Adres"
181,1313,"Almere","","Almere","Flevoland","036",52.3843738,5.1992227,"Adres"
182,1314,"Almere","","Almere","Flevoland","036",52.3811428,5.2119796,"Adres"
183,1315,"Almere","","Almere","Flevoland","036",52.3701165,5.2199218,"Adres"
184,1316,"Almere","","Almere","Flevoland","036",52.4010719,5.2140692,"Adres"
185,1317,"Almere","","Almere","Flevoland","036",52.3908526,5.2338726,"Adres"
186,1318,"Almere","","Almere","Flevoland","036",52.3862199,5.2480427,"Adres"
187,1319,"Almere","","Almere","Flevoland","036",52.3916477,5.1855545,"Adres"
188,1320,"Almere","","Almere","Flevoland","036",52.3481373,5.2474067,"Postbus"
189,1321,"Almere","","Almere","Flevoland","036",52.3570914,5.1824098,"Adres"
190,1322,"Almere","","Almere","Flevoland","036",52.3477572,5.1823276,"Adres"
191,1323,"Almere","","Almere","Flevoland","036",52.3658452,5.195737,"Adres"
192,1324,"Almere","","Almere","Flevoland","036",52.360927,5.216516,"Adres"
193,1325,"Almere","","Almere","Flevoland","036",52.3653403,5.2373944,"Adres"
194,1326,"Almere","","Almere","Flevoland","036",52.3700447,5.251656,"Adres"
195,1327,"Almere","","Almere","Flevoland","036",52.3579157,5.2543634,"Adres"
196,1328,"Almere","","Almere","Flevoland","036",52.3747475,5.2659253,"Adres"
197,1329,"Almere","","Almere","Flevoland","036",52.3701119,5.2800904,"Adres"
198,1331,"Almere","","Almere","Flevoland","036",52.4226973,5.2683756,"Adres"
199,1332,"Almere","","Almere","Flevoland","036",52.4129905,5.2464368,"Adres"
200,1333,"Almere","","Almere","Flevoland","036",52.3962187,5.2633268,"Adres"
201,1334,"Almere","","Almere","Flevoland","036",52.3942291,5.2780076,"Adres"
202,1335,"Almere","","Almere","Flevoland","036",52.4056228,5.2919064,"Adres"
203,1336,"Almere","","Almere","Flevoland","036",52.4044301,5.3184769,"Adres"
204,1338,"Almere","","Almere","Flevoland","036",52.3847421,5.2812143,"Adres"
205,1339,"Almere","","Almere","Flevoland","036",52.3947359,5.296517,"Adres"
206,1341,"Almere","","Almere","Flevoland","036",52.3576857,5.2894181,"Adres"
207,1343,"Almere","","Almere","Flevoland","036",52.3409213,5.306264,"Adres"
208,1349,"Almere","","Almere","Flevoland","036",52.3316433,5.3345674,"Adres"
209,1351,"Almere","","Almere","Flevoland","036",52.3500501,5.2211402,"Adres"
210,1352,"Almere","","Almere","Flevoland","036",52.3438011,5.2116153,"Adres"
211,1353,"Almere","","Almere","Flevoland","036",52.3358645,5.2101188,"Adres"
212,1354,"Almere","","Almere","Flevoland","036",52.3382178,5.2172366,"Adres"
213,1355,"Almere","","Almere","Flevoland","036",52.3429232,5.2314778,"Adres"
214,1356,"Almere","","Almere","Flevoland","036",52.3398375,5.2409094,"Adres"
215,1357,"Almere","","Almere","Flevoland","036",52.3321953,5.2327849,"Adres"
216,1358,"Almere","","Almere","Flevoland","036",52.3340259,5.2815502,"Adres"
217,1359,"Almere","","Almere","Flevoland","036",52.3409248,5.1860498,"Adres"
218,1361,"Almere","","Almere","Flevoland","036",52.3373686,5.1453745,"Adres"
219,1362,"Almere","","Almere","Flevoland","036",52.3420835,5.1595874,"Adres"
220,1363,"Almere","","Almere","Flevoland","036",52.3532452,5.1483313,"Adres"
221,1380,"Weesp","","Weesp","Noord-Holland","0294",52.3066153,5.0432534,"Postbus"
222,1381,"Weesp","","Weesp","Noord-Holland","0294",52.3004035,5.0752974,"Adres"
223,1382,"Weesp","","Weesp","Noord-Holland","0294",52.3154645,5.0348382,"Adres"
224,1383,"Weesp","","Weesp","Noord-Holland","0294",52.2934588,5.0507624,"Adres"
225,1390,"Abcoude","","Abcoude","Utrecht","0294",52.2694313,4.9735943,"Postbus"
226,1391,"Abcoude","","Abcoude","Utrecht","0294",52.272071,4.9704743,"Adres"
227,1393,"Nigtevecht","","Loenen","Utrecht","0294",52.2738533,5.0285536,"Adres"
228,1394,"Nederhorst den Berg","NEDERHORST D BERG","Wijdemeren","Noord-Holland","0294",52.2601767,5.0449932,"Adres + Postbus"
229,1396,"Baambrugge","","Abcoude","Utrecht","0294",52.2462306,4.9886094,"Adres"
230,1398,"Muiden","","Muiden","Noord-Holland","0294",52.3286972,5.0683449,"Adres + Postbus"
231,1399,"Muiderberg","","Muiden","Noord-Holland","0294",52.3263049,5.1165375,"Adres"
232,1400,"Bussum","","Bussum","Noord-Holland","035",52.27475,5.1679387,"Adres + Postbus"
233,1401,"Bussum","","Bussum","Noord-Holland","035",52.2788497,5.1727538,"Adres"
234,1402,"Bussum","","Bussum","Noord-Holland","035",52.2707753,5.1745708,"Adres"
235,1403,"Bussum","","Bussum","Noord-Holland","035",52.2653446,5.1768815,"Adres"
236,1404,"Bussum","","Bussum","Noord-Holland","035",52.2766397,5.162358,"Adres"
237,1405,"Bussum","","Bussum","Noord-Holland","035",52.2770721,5.1524581,"Adres"
238,1406,"Bussum","","Bussum","Noord-Holland","035",52.2624625,5.1513993,"Adres"
239,1410,"Naarden","","Naarden","Noord-Holland","035",52.2857057,5.2697832,"Postbus"
240,1411,"Naarden","","Naarden","Noord-Holland","035",52.2963957,5.1677125,"Adres"
241,1412,"Naarden","","Naarden","Noord-Holland","035",52.287546,5.1261305,"Adres"
242,1420,"Uithoorn","","Uithoorn","Noord-Holland","0297",52.3474444,4.9082811,"Postbus"
243,1421,"Uithoorn","","Uithoorn","Noord-Holland","0297",52.240457,4.8210356,"Adres"
244,1422,"Uithoorn","","Uithoorn","Noord-Holland","0297",52.2440878,4.8299261,"Adres"
245,1423,"Uithoorn","","Uithoorn","Noord-Holland","0297",52.2340482,4.8149669,"Adres"
246,1424,"De Kwakel","","Uithoorn","Noord-Holland","0297",52.2390773,4.7939868,"Adres"
247,1426,"De Hoef","","De Ronde Venen","Utrecht","0297",52.2007451,4.8143176,"Adres"
248,1427,"Amstelhoek","","De Ronde Venen","Utrecht","0297",52.2317442,4.8349976,"Adres"
249,1428,"Vrouwenakker","","Nieuwkoop","Zuid-Holland","0297",52.213967,4.7850891,"Adres"
250,1430,"Aalsmeer","","Aalsmeer","Noord-Holland","0297",52.2666259,4.7510049,"Postbus"
251,1431,"Aalsmeer","","Aalsmeer","Noord-Holland","0297",52.2505822,4.735323,"Adres"
252,1432,"Aalsmeer","","Aalsmeer","Noord-Holland","0297",52.2802074,4.7932523,"Adres"
253,1433,"Kudelstaart","","Aalsmeer","Noord-Holland","0297",52.2384184,4.7519489,"Adres"
254,1435,"Rijsenhout","RYSENHOUT","Haarlemmermeer","Noord-Holland","0297",52.2620371,4.7127066,"Adres"
255,1436,"Aalsmeerderbrug","","Haarlemmermeer","Noord-Holland","0297",52.2738103,4.7497732,"Adres"
256,1437,"Rozenburg","","Haarlemmermeer","Noord-Holland","0297",52.2817172,4.7377604,"Adres"
257,1438,"Oude Meer","","Haarlemmermeer","Noord-Holland","020",52.2899333,4.7833671,"Adres"
258,1440,"Purmerend","","Purmerend","Noord-Holland","0299",52.4941495,4.9275193,"Postbus"
259,1441,"Purmerend","","Purmerend","Noord-Holland","0299",52.5003668,4.9550027,"Adres"
260,1442,"Purmerend","","Purmerend","Noord-Holland","0299",52.5146124,4.9659138,"Adres"
261,1443,"Purmerend","","Purmerend","Noord-Holland","0299",52.5090271,4.9715908,"Adres"
262,1444,"Purmerend","","Purmerend","Noord-Holland","0299",52.521316,4.9654491,"Adres"
263,1445,"Purmerend","","Purmerend","Noord-Holland","0299",52.4989741,4.9881531,"Adres"
264,1446,"Purmerend","","Purmerend","Noord-Holland","0299",52.5168451,5.0081027,"Adres"
265,1447,"Purmerend","","Purmerend","Noord-Holland","0299",52.4861298,4.975815,"Adres"
266,1448,"Purmerend","","Purmerend","Noord-Holland","0299",52.4958915,4.9341712,"Adres"
267,1451,"Purmerland","","Landsmeer","Noord-Holland","0299",52.4814429,4.925769,"Adres"
268,1452,"Ilpendam","","Waterland","Noord-Holland","020",52.4631783,4.9513713,"Adres"
269,1454,"Watergang","","Waterland","Noord-Holland","020",52.4398855,4.9521153,"Adres"
270,1456,"Wijdewormer","WYDEWORMER","Wormerland","Noord-Holland","0299",52.4873869,4.8597355,"Adres"
271,1458,"Spijkerboor","SPYKERBOOR","Wormerland","Noord-Holland","075",52.5383425,4.8322711,"Adres"
272,1461,"Zuidoostbeemster","","Beemster","Noord-Holland","0299",52.5151991,4.9421222,"Adres"
273,1462,"Middenbeemster","","Beemster","Noord-Holland","0299",52.5481066,4.9109338,"Adres + Postbus"
274,1463,"Noordbeemster","","Beemster","Noord-Holland","0299",52.5797174,4.9322059,"Adres"
275,1464,"Westbeemster","","Beemster","Noord-Holland","0299",52.5752469,4.8995178,"Adres"
276,1471,"Kwadijk","KWADYK","Zeevang","Noord-Holland","0299",52.527382,4.9837605,"Adres"
277,1472,"Middelie","","Zeevang","Noord-Holland","0299",52.5355665,5.0158893,"Adres"
278,1473,"Warder","","Zeevang","Noord-Holland","0299",52.5635314,5.0324222,"Adres"
279,1474,"Oosthuizen","","Zeevang","Noord-Holland","0299",52.5739553,4.9975843,"Adres + Postbus"
280,1475,"Beets","","Zeevang","Noord-Holland","0299",52.5887299,4.978728,"Adres"
281,1476,"Schardam","","Zeevang","Noord-Holland","0299",52.5950121,5.0174519,"Adres"
282,1477,"Hobrede","","Zeevang","Noord-Holland","0299",52.5446616,4.9802415,"Adres"
283,1481,"Purmer","","Waterland","Noord-Holland","0299",52.5028767,5.0222838,"Adres"
284,1482,"Purmer","","Waterland","Noord-Holland","0299",52.4744038,5.0004082,"Adres"
285,1483,"De Rijp","DE RYP","Graft-De Rijp","Noord-Holland","0299",52.5563611,4.8468049,"Adres + Postbus"
